year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,4,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",86.00,9.00,3.12,0.00,2.15,0.00,3.73,0.00,0.00,486.00,231.00,0.00,64.00,0.00,191.00
2024,4,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",60.00,9.00,2.53,0.00,3.77,0.00,2.70,0.00,1.00,603.00,185.00,0.00,173.00,0.00,245.00
2024,4,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",156.00,16.00,10.57,0.00,2.20,0.00,3.23,0.00,0.00,703.00,465.00,0.00,123.00,0.00,115.00
2024,4,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",115.00,16.00,8.00,0.98,2.72,0.00,4.31,0.00,0.00,865.00,517.00,41.00,88.00,0.00,219.00
2024,4,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2032.00,241.00,60.87,12.49,56.98,0.00,110.66,3.00,1.00,16233.00,5737.00,1528.00,1745.00,0.00,7223.00
2024,4,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",20.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,18.00,0.00,0.00
2024,4,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",77.00,11.00,4.59,0.00,4.13,0.00,2.28,0.00,0.00,588.00,336.00,0.00,100.00,0.00,152.00
2024,4,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",49.00,5.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,279.00,197.00,0.00,82.00,0.00,0.00
2024,4,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",56.00,6.00,2.03,0.00,3.12,0.00,0.85,1.00,0.00,213.00,82.00,0.00,92.00,0.00,39.00
2024,4,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",30.00,3.00,1.04,0.00,0.31,0.00,1.65,0.00,0.00,89.00,25.00,0.00,13.00,0.00,51.00
2024,4,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",84.00,13.00,4.57,0.00,2.81,0.00,5.62,4.00,0.00,437.00,162.00,0.00,101.00,0.00,174.00
2024,4,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",95.00,13.00,2.27,1.91,2.50,0.00,6.32,1.00,0.00,898.00,103.00,55.00,130.00,0.00,610.00
